Acronyme PEPR,projet,laboratoire,Type_Data,Email_Contact,Nom_Contact,Prenom_Contact,Fonction,Libellé structure,Sigle structure,Adresse,Latitude,Longitude,Domaines scientifiques,Discipline ERC
FairCarboN,CABESTAN,AD2M,Labo,,,,,Adaptation et diversité en milieu marin ,AD2M,Place Georges Teissier - CS90074-29688-ROSCOFF CEDEX,48.7269243,-3.9876728,,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards"
FairCarboN,CrosyeN,AGAP,Labo,,,,,Institut Amélioration Génétique et Adaptation des Plantes méditerranéennes et Tropicales,AGAP,03 - Avenue Agropolis - 34398 Montpellier Cedex 5 France,43.6394783,3.8734664,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards"
FairCarboN,RhizoSeqC,AGAP,Labo,,,,,Institut Amélioration Génétique et Adaptation des Plantes méditerranéennes et Tropicales,AGAP,03 - Avenue Agropolis - 34398 Montpellier Cedex 5 France,43.6394783,3.8734664,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards"
FairCarboN,CrosyeN,AGIR,Labo,,,,,"AGroécologie, Innovations, teRritoires",AGIR,Chemin de Borderouge 31326 CASTANET TOLOSAN ,43.5274577,1.4982686,7-Sciences de la société                                                                              10-Sciences agronomiques et écologiques                                                                6-Sciences humaines et humanités,
FairCarboN,SLAM-B,AGIR,Labo,,,,,"AGroécologie, Innovations, teRritoires",AGIR,Chemin de Borderouge 31326 CASTANET TOLOSAN ,43.5274577,1.4982686,7-Sciences de la société                                                                              10-Sciences agronomiques et écologiques                                                                6-Sciences humaines et humanités,
FairCarboN,CANETE,Agroécologie,Labo,,,,,Agroécologie [Dijon],Agroécologie,17  rue Sully BP 86510-21065-Dijon,47.3172077,5.0693536,"10-Sciences agronomiques et écologiques                                                                5-Biologie, médecine et santé                                                                         3-Sciences de la terre et de l'univers, espace","LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,
LS3-Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling"
FairCarboN,CrosyeN,Agroécologie,Labo,,,,,Agroécologie [Dijon],Agroécologie,"INRAE, Centre de Dijon,  17 rue Sully, BP 86510 – 21065 DIJON Cédex",47.3172077,5.0693536,"10-Sciences agronomiques et écologiques                                                                5-Biologie, médecine et santé                                                                         3-Sciences de la terre et de l'univers, espace","LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,
LS3-Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling"
FairCarboN,ALAMOD,AIDA,Labo,,,,,Agroécologie et intensification durables des cultures annuelles,AIDA,Avenue Agropolis-34398-Montpellier Cedex 5,43.64494300143383,3.869559219046218,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards"
FairCarboN,CrosyeN,AIDA,Labo,,,,,Agroécologie et intensification durables des cultures annuelles,AIDA,Avenue Agropolis-34398-Montpellier Cedex 5,43.64494300143383,3.869559219046218,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards"
FairCarboN,SLAM-B,AIDA,Labo,,,,,Agroécologie et intensification durables des cultures annuelles,AIDA,Avenue Agropolis-34398-Montpellier Cedex 5,43.64494300143383,3.869559219046218,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards"
